ticket_id,vertical,pattern_vertical,source
60237327,Khoros,IgniteTech,seed
60211680,IgniteTech,IgniteTech,seed
60214613,IgniteTech,IgniteTech,seed
60247476,Khoros,Khoros,seed
60234621,Khoros,Khoros,seed
60227783,Khoros,Khoros,seed
60238457,Khoros,Khoros,seed
60226631,Khoros,Khoros,seed
60238295,GFI,GFI,seed
60218313,GFI,GFI,seed
60230438,GFI,GFI,seed
60241518,GFI,GFI,seed
60240989,GFI,GFI,seed
60258400,GFI,GFI,seed
60231299,GFI,GFI,seed
60241392,GFI,GFI,seed
60242814,GFI,GFI,seed
60225231,GFI,GFI,seed
60231851,GFI,GFI,seed
60230003,GFI,GFI,seed
60252140,GFI,GFI,seed
60220499,GFI,GFI,seed
60256173,GFI,GFI,seed
60210541,GFI,GFI,seed
60209095,GFI,GFI,seed
60252864,GFI,GFI,seed
60232130,GFI,GFI,seed
60220701,GFI,GFI,seed
60239883,GFI,GFI,seed
60209553,GFI,GFI,seed
60211226,IgniteTech,,random
60222887,IgniteTech,,random
60248266,IgniteTech,,random
60212784,IgniteTech,,random
60238514,IgniteTech,,random
60270630,IgniteTech,,random
60229854,IgniteTech,,random
60250996,IgniteTech,,random
60250793,IgniteTech,,random
60248265,IgniteTech,,random
60264202,IgniteTech,,random
60223404,IgniteTech,,random
60210131,IgniteTech,,random
60234884,IgniteTech,,random
60218070,IgniteTech,,random
60222765,IgniteTech,,random
60251281,IgniteTech,,random
60233211,IgniteTech,,random
60260239,IgniteTech,,random
60209192,IgniteTech,,random
60269002,IgniteTech,,random
60232940,IgniteTech,,random
60237213,IgniteTech,,random
60233341,Khoros,,random
60264368,Khoros,,random
60219661,Khoros,,random
60258751,Khoros,,random
60208754,Khoros,,random
60256250,Khoros,,random
60250271,Khoros,,random
60264386,Khoros,,random
60233855,Khoros,,random
60230887,Khoros,,random
60243347,Khoros,,random
60219657,Khoros,,random
60259640,Khoros,,random
60243765,Khoros,,random
60243234,Khoros,,random
60230303,Khoros,,random
60267393,Khoros,,random
60246498,Khoros,,random
60253689,Khoros,,random
60212281,Khoros,,random
60250122,Khoros,,random
60235310,Khoros,,random
60221483,Khoros,,random
60242868,GFI,,random
60214082,GFI,,random
60233405,GFI,,random
60224201,GFI,,random
60236962,GFI,,random
60218865,GFI,,random
60231535,GFI,,random
60223073,GFI,,random
60254579,GFI,,random
60256854,GFI,,random
60267287,GFI,,random
60261219,GFI,,random
60247413,GFI,,random
60222138,GFI,,random
60239472,GFI,,random
60227322,GFI,,random
60269018,GFI,,random
60258962,GFI,,random
60225246,GFI,,random
60268699,GFI,,random
60224885,GFI,,random
60264009,GFI,,random
60243726,GFI,,random
